Country,2014,2015,2016,2017,2018
Tanzania,"1,140","1,137","1,284","1,327","1,506"
Thailand,..,..,..,..,..
Macedonia,..,..,..,..,..
Timor-Leste,..,..,..,..,..
Togo,..,..,..,..,..
Tonga,66,73,87,87,77
Trinidad And Tobago,455,519,492,465,501
Tunisia,..,..,..,..,..
Turkey,"41,627","41,114","30,907","37,970","46,113"
Turkmenistan,..,..,..,..,..
Turks And Caicos Islands,"1,330","1,316","1,296","1,243","1,463"
Tuvalu,..,..,..,..,..
Uganda,..,..,..,..,..
Ukraine,"13,227","13,025","13,734","14,579","14,342"
United Arab Emirates,..,..,..,..,..
United Kingdom,"34,377","36,115","37,609","39,214","37,905"
United States Of America,"178,311","176,865","175,261","174,292","169,325"
United States Virgin Islands,"2,814","2,643","2,574","1,967","1,937"
Uruguay,"3,195","3,286","3,632","4,219","3,954"
Uzbekistan,"1,862","1,918","2,027","2,690","5,346"
Vanuatu,329,287,351,333,350
Venezuela,967,882,681,429,..
Vietnam,"7,874","7,944","10,013","12,922","15,498"
Yemen,"1,218",398,..,..,..
Zambia,..,..,..,..,..
Zimbabwe,"1,880","2,057","2,168","2,423","2,580"
